"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11","        Nonfarm",8.4,7.0,5.3,3.3,3.0,4.4,5.2,6.4,6.9,6.6,7.1,8.2,10.6,13.7,16.7,17.9,19.0,21.5,20.2,22.6,22.7,24.6,27.3,28.7,29.8,30.5,33.6,35.2,37.2,37.7,40.3,39.9,42.0,44.0,45.4,49.4,51.6,54.9,57.8,62.2,64.2,64.9,70.5,78.1,83.4,88.7,96.2,113.8,128.5,146.1,157.3,159.9,160.7,157.9,180.1,207.3,220.1,233.7,257.6,299.1,308.9,322.3,329.2,367.6,399.2,424.8,462.4,510.1,555.5,615.7,672.3,726.3,804.7,851.1,862.0,911.6,932.6,1017.7,941.1,979.5,937.5,986.7,1068.1,1179.8,1197.0,1269.2,1336.8,1389.7
"12","    Rental income of persons with capital consumption adjustment",6.1,5.4,4.4,3.6,2.9,2.5,2.6,2.7,3.0,3.5,3.7,3.8,4.4,5.5,6.0,6.3,6.6,6.9,6.9,7.5,7.8,8.8,9.7,10.8,12.0,13.1,13.4,13.7,14.1,14.8,15.6,16.5,17.2,18.0,18.7,18.8,19.3,19.9,20.3,20.1,20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42.0,64.3,93.6,117.5,129.2,147.0,152.0,169.9,183.1,187.7,207.5,217.3,238.0,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,525.3,567.1,606.1,659.6,704.7
"13","    Personal income receipts on assets",12.6,11.9,10.5,8.6,7.6,8.3,8.5,10.0,10.4,8.8,9.4,9.7,10.2,10.0,10.4,10.9,11.7,13.6,15.4,16.8,17.9,20.7,21.4,22.5,24.6,26.6,29.4,32.4,35.6,37.3,40.6,44.3,47.2,51.6,56.0,62.5,68.7,74.2,79.8,87.3,98.7,112.7,122.3,133.3,150.6,175.4,195.3,212.6,243.4,278.0,318.3,386.0,472.9,541.3,584.3,665.1,712.8,755.3,779.9,839.4,951.9,991.2,985.5,982.1,988.6,1029.4,1114.0,1176.5,1258.5,1342.5,1329.7,1453.5,1441.3,1390.4,1420.5,1503.7,1666.5,1938.4,2166.6,2167.1,1818.0,1739.6,1913.9,2123.8,2056.1,2227.0,2253.8,2262.9
"14","        Personal interest income",6.8,6.4,6.4,6.1,5.6,5.7,5.7,5.5,5.7,5.6,5.7,5.7,5.8,5.8,6.0,6.2,7.1,8.0,9.1,9.8,10.7,11.8,12.9,13.9,15.7,17.3,18.9,21.2,23.8,25.8,28.0,31.0,33.2,36.6,39.8,44.3,48.5,53.5,58.3,63.8,74.4,88.3,97.3,106.5,120.8,142.2,162.4,173.6,198.7,227.3,260.9,322.0,399.2,463.7,501.0,574.4,615.4,649.3,667.7,709.6,794.2,822.4,805.3,793.1,783.9,794.2,856.0,874.3,920.5,987.1,983.3,1070.2,1072.2,991.8,988.2,941.7,1088.1,1214.7,1350.1,1361.6,1264.3,1195.0,1231.6,1288.8,1261.6,1300.9,1302.7,1314.5
"15","        Personal dividend income",5.8,5.5,4.1,2.5,2.0,2.6,2.8,4.5,4.7,3.2,3.8,4.0,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7.0,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15.0,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25.0,26.8,29.9,33.2,32.9,39.0,44.7,50.7,57.4,64.0,73.6,77.6,83.3,90.6,97.4,106.0,112.2,129.7,157.8,168.8,180.2,189.1,204.7,235.2,258.0,302.2,337.9,355.4,346.4,383.3,369.2,398.6,432.3,562.1,578.3,723.7,816.5,805.4,553.7,544.6,682.2,834.9,794.4,926.1,951.1,948.4
"16","    Personal current transfer receipts",1.2,1.2,2.3,1.7,1.7,1.8,2.0,3.1,2.0,2.4,2.5,2.7,2.7,2.7,2.5,3.1,5.6,10.6,10.8,10.3,11.2,14.0,11.4,11.9,12.5,14.3,15.7,16.8,19.5,23.5,24.2,25.7,29.5,30.4,32.2,33.5,36.2,39.6,48.0,56.1,62.3,74.7,88.1,97.9,112.6,133.3,170.0,184.3,194.6,209.9,235.6,280.1,319.0,355.5,384.3,400.6,425.4,451.6,468.1,497.5,544.2,596.9,668.1,748.0,793.0,829.0,883.5,929.2,954.9,983.9,1026.2,1087.3,1192.6,1284.7,1347.3,1421.3,1516.7,1614.6,1728.1,1956.6,2147.5,2324.7,2360.5,2366.3,2428.0,2540.4,2678.6,2775.4
"17","        Government social benefits to persons",0.8,0.9,1.9,1.3,1.3,1.3,1.6,2.7,1.6,2.1,2.2,2.4,2.3,2.3,2.1,2.7,5.1,10.1,10.4,9.9,10.9,13.4,10.5,11.0,11.7,13.7,14.8,15.6,18.1,22.2,22.9,24.4,28.1,28.8,30.3,31.3,33.9,37.5,45.8,53.3,59.0,71.7,85.4,94.8,108.6,128.6,163.1,177.6,189.5,203.4,227.3,271.5,307.8,343.1,370.5,380.9,403.1,428.6,447.9,476.9,521.1,574.7,650.5,731.8,778.9,815.7,864.7,906.3,935.4,957.9,992.2,1044.9,1145.8,1250.5,1321.1,1404.6,1491.0,1593.1,1697.5,1920.0,2108.8,2281.7,2310.2,2323.6,2386.9,2494.9,2627.2,2722.1
"18","            Social security 2","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,1.0,1.9,2.2,3.0,3.6,4.9,5.7,7.3,8.5,10.2,11.1,12.6,14.3,15.2,16.0,18.1,19.8,21.1,24.6,26.4,31.4,36.6,40.9,50.7,57.6,65.9,74.5,83.2,91.4,102.6,118.6,138.6,153.7,164.4,173.0,183.3,193.6,201.0,213.9,227.4,244.1,264.2,281.8,297.9,312.2,327.7,342.0,356.6,369.2,379.9,401.4,425.1,446.9,463.5,485.5,512.7,544.1,575.7,605.5,664.5,690.2,713.3,762.1,799.0,834.6,871.8,896.5
"19","            Medicare 3","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.0,4.7,5.9,6.7,7.3,8.0,8.8,10.2,12.7,15.6,18.8,22.1,25.5,29.9,36.2,43.5,50.9,57.8,64.7,69.7,75.3,81.6,86.3,98.2,107.6,117.5,132.6,146.8,164.4,181.2,194.9,206.9,205.6,208.7,219.1,242.6,259.2,276.7,304.4,332.2,399.2,429.0,462.9,494.6,513.8,536.0,556.3,575.0,601.1,628.2,662.0
"20","            Medicaid","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.9,2.7,4.0,4.6,5.5,6.7,8.2,9.6,11.2,13.9,15.5,16.7,18.6,21.1,23.9,27.7,30.2,33.9,36.6,39.7,43.6,47.8,53.0,60.8,73.1,96.9,116.2,130.1,139.4,149.6,158.2,163.1,170.2,184.6,199.5,227.3,250.0,264.5,289.8,304.4,299.1,324.2,338.3,369.2,396.6,405.7,417.3,439.7,487.4,539.6,566.6
"21","            Unemployment insurance","---","---","---","---","---","---","---","---",0.0,0.4,0.4,0.5,0.4,0.4,0.1,0.1,0.6,2.6,1.6,1.3,2.2,1.5,0.9,1.1,1.1,2.3,1.6,1.6,1.9,4.2,2.9,3.1,4.4,3.2,3.1,2.8,2.4,1.9,2.2,2.2,2.3,4.2,6.2,6.0,4.6,7.0,18.1,16.4,13.1,9.4,9.7,16.1,15.9,25.2,26.4,16.0,15.9,16.5,14.6,13.3,14.4,18.2,26.8,39.6,34.8,23.9,21.7,22.3,20.1,19.7,20.5,20.7,31.9,53.5,53.2,36.4,31.8,30.4,32.7,51.1,131.2,138.9,107.2,83.8,62.3,35.5,32.2,30.1
"22","            Veterans' benefits",0.6,0.6,1.6,0.8,0.6,0.4,0.5,1.9,0.6,0.5,0.5,0.5,0.5,0.5,0.5,1.0,2.9,5.5,6.2,5.5,4.9,7.7,4.6,4.3,4.1,4.1,4.4,4.3,4.5,4.6,4.5,4.5,4.9,4.6,4.8,4.6,4.8,4.8,5.5,5.9,6.6,7.5,8.4,9.4,10.2,11.6,14.0,13.8,13.3,13.6,14.2,14.7,15.8,16.3,16.4,16.3,16.6,16.6,16.5,16.7,17.2,17.7,18.1,18.6,19.3,19.7,20.5,21.4,22.3,23.3,24.1,25.0,26.6,29.5,31.8,34.0,36.4,38.9,41.7,45.0,51.5,58.0,63.3,70.1,79.1,83.7,89.8,95.2
"23","            Other","---","---","---","---",0.7,0.9,1.1,0.8,1.0,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.6,2.2,2.5,3.0,3.3,3.2,3.4,3.5,3.7,3.9,4.0,4.4,4.9,5.4,5.7,6.2,6.8,7.3,7.9,8.6,8.1,9.4,10.8,12.4,16.0,19.4,21.4,23.3,28.4,35.7,38.7,40.9,44.9,49.9,62.1,66.3,66.8,71.5,74.3,78.0,83.0,86.4,93.6,103.1,113.9,127.0,142.9,150.0,156.1,164.0,167.6,166.4,170.0,174.4,179.1,192.4,211.4,231.3,254.4,273.6,281.5,294.2,417.0,397.8,484.3,484.9,434.0,431.8,452.6,465.6,471.6
"24","        Other current transfer receipts, from business (net)",0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26.0,34.0,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43.0,50.2,42.7,41.1,45.5,51.4,53.3
"25","    Less: Contributions for government social insurance, domestic",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.6,5.6,4.6,4.9,5.5,6.6,6.9,7.1,8.1,9.1,10.0,11.4,11.4,13.8,16.4,17.0,19.1,21.7,22.4,23.4,31.3,34.9,38.7,44.1,46.4,51.2,59.2,75.5,85.2,89.3,101.3,113.1,131.3,152.7,166.2,195.7,208.9,226.0,257.5,281.4,303.4,323.1,361.5,385.2,410.1,430.2,455.0,477.4,508.2,532.8,555.1,587.2,624.7,661.3,705.8,733.2,751.5,779.3,829.2,873.3,922.6,961.4,988.2,964.4,984.1,917.8,951.6,1104.6,1154.9,1203.5,1250.3
"26","Less: Personal current taxes",1.7,1.6,1.0,0.7,0.8,0.9,1.1,1.3,1.9,1.9,1.5,1.7,2.3,4.9,16.7,17.7,19.4,17.2,19.8,19.2,16.7,18.9,27.1,32.0,33.2,30.2,32.9,36.6,38.9,38.5,42.3,46.1,47.3,51.6,54.6,52.1,57.7,66.4,73.0,87.0,104.5,103.1,101.7,123.6,132.4,151.0,147.6,172.7,197.9,229.6,268.9,299.5,345.8,354.7,352.9,377.9,417.8,437.8,489.6,505.9,567.7,594.7,588.9,612.8,648.8,693.1,748.4,837.1,931.8,1032.4,1112.1,1236.6,1239.3,1054.7,1005.3,1050.6,1213.2,1357.1,1493.2,1507.8,1152.3,1239.3,1453.2,1511.4,1677.8,1787.0,1938.7,1965.6
"27","Equals: Disposable personal income",83.5,74.9,64.6,49.5,46.4,53.2,59.8,67.9,72.8,67.2,72.1,77.7,95.6,121.8,139.4,152.0,156.3,165.5,174.8,194.5,194.5,215.0,237.4,250.7,266.3,272.4,291.7,311.8,329.6,340.9,360.9,376.5,393.8,417.5,438.3,476.3,513.2,554.2,592.8,643.8,695.8,761.5,830.4,899.9,1006.1,1098.3,1219.3,1325.8,1456.7,1630.1,1809.3,2018.0,2250.7,2424.7,2617.4,2903.9,3098.5,3287.9,3466.3,3770.4,4052.1,4311.8,4484.5,4800.2,5000.2,5244.2,5532.6,5829.9,6148.8,6561.3,6876.3,7400.5,7752.3,8099.2,8485.8,9002.3,9400.8,10036.9,10507.0,10994.4,10942.5,11237.9,11801.4,12403.7,12395.8,13022.7,13519.8,14045.9
"28","Less: Personal outlays",79.6,71.6,61.8,49.7,46.8,52.3,56.8,63.1,67.9,65.3,68.2,72.4,82.3,90.0,100.8,109.7,121.2,145.9,163.8,177.2,180.9,195.0,211.5,222.8,237.1,244.2,263.5,277.1,292.7,302.0,323.8,338.6,349.5,371.2,391.6,421.4,454.9,492.8,520.6,571.7,620.7,665.5,720.3,790.7,874.3,956.6,1060.3,1178.5,1308.5,1463.5,1631.7,1804.8,1998.3,2147.0,2370.4,2591.8,2833.4,3018.5,3214.2,3475.7,3735.6,3976.3,4118.6,4374.2,4632.6,4912.8,5179.6,5484.7,5796.7,6156.0,6573.0,7092.8,7417.1,7693.9,8076.2,8592.9,9157.7,9705.5,10197.2,10457.7,10275.1,10607.9,11091.2,11457.0,11775.7,12296.7,12736.2,13227.1
"29","    Personal consumption expenditures",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89.0,99.9,108.6,120.0,144.3,162.0,175.0,178.5,192.2,208.5,219.5,233.0,239.9,258.7,271.6,286.7,296.0,317.5,331.6,342.0,363.1,382.5,411.2,443.6,480.6,507.4,557.4,604.5,647.7,701.0,769.4,851.1,932.0,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471.0,4741.0,4984.2,5268.1,5560.7,5903.0,6307.0,6792.4,7103.1,7384.1,7765.5,8260.0,8794.1,9304.0,9750.5,10013.6,9847.0,10202.2,10689.3,11050.6,11361.2,11863.4,12283.7,12757.9
"30","    Personal interest payments 4",1.5,0.9,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.7,0.4,0.4,0.4,0.7,0.9,1.3,1.6,2.0,2.2,2.6,3.2,3.4,4.0,4.6,4.9,5.0,5.5,6.2,6.5,7.0,7.9,8.9,9.9,10.7,11.1,12.2,14.0,15.2,16.6,18.1,19.8,21.2,23.7,23.9,27.0,31.9,36.2,43.2,49.2,59.3,68.8,76.6,92.0,99.0,98.9,103.1,114.8,120.1,121.8,118.1,116.0,122.0,142.6,159.1,172.1,183.4,190.2,217.5,223.2,213.0,209.8,221.8,248.8,275.1,305.9,289.6,273.9,250.8,241.4,240.6,243.9,251.6,263.8,274.9
"31","    Personal current transfer payments",0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.7,0.9,0.9,1.0,0.8,0.8,0.7,0.8,0.9,0.9,0.9,1.0,1.1,1.0,0.8,0.8,1.0,1.1,1.2,1.3,1.4,1.6,2.0,2.0,2.2,2.6,2.8,3.2,3.4,3.4,3.8,4.4,4.8,5.4,6.0,6.9,11.5,13.8,15.1,17.1,18.8,21.1,23.2,25.6,28.0,30.6,36.7,40.5,45.6,49.8,52.9,57.6,63.9,69.5,75.8,82.9,90.8,96.9,100.8,111.1,114.8,126.4,140.8,154.4,154.2,154.9,160.5,165.8,170.7,181.8,188.8,194.3
"32","        To government",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1.0,1.0,1.1,1.3,1.5,1.8,1.8,2.1,2.5,3.0,3.5,3.9,4.3,5.0,6.0,7.1,8.1,9.2,10.4,12.0,13.2,14.8,16.5,18.4,22.6,26.0,28.6,30.9,32.6,34.9,38.2,39.9,44.1,48.8,52.9,56.4,60.5,66.9,71.6,76.6,81.0,82.8,83.5,83.9,85.5,91.1,93.4,98.3,103.3,108.8
"33","        To the rest of the world (net)",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2.0,5.6,6.7,7.0,7.9,8.3,9.1,10.0,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,31.8,34.1,37.9,40.5,40.3,44.2,43.2,49.7,59.8,71.7,70.7,71.0,75.1,74.7,77.3,83.5,85.4,85.5
"34","Equals: Personal saving",3.9,3.3,2.8,-0.1,-0.4,0.9,3.0,4.8,4.9,2.0,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11.0,17.2,13.6,20.0,25.9,27.8,29.2,28.2,28.2,34.7,36.9,38.9,37.1,37.8,44.4,46.4,46.7,54.8,58.3,61.4,72.2,72.1,75.0,96.1,110.1,109.2,131.8,141.7,159.0,147.3,148.2,166.6,177.5,213.2,252.5,277.7,247.0,312.1,265.1,269.4,252.1,294.8,316.5,335.4,365.9,426.0,367.6,331.4,352.9,345.2,352.2,405.3,303.3,307.7,335.2,405.3,409.6,409.4,243.1,331.4,309.8,536.7,667.4,630.0,710.1,946.7,620.1,726.0,783.6,818.8
"35","    Personal saving as a percentage of disposable personal income",4.7,4.4,4.3,-0.2,-0.8,1.7,5.1,7.0,6.7,2.9,5.4,6.8,13.9,26.2,27.7,27.9,22.5,11.8,6.3,8.9,7.0,9.3,10.9,11.1,11.0,10.3,9.7,11.1,11.2,11.4,10.3,10.0,11.3,11.1,10.7,11.5,11.4,11.1,12.2,11.2,10.8,12.6,13.3,12.1,13.1,12.9,13.0,11.1,10.2,10.2,9.8,10.6,11.2,11.5,9.4,10.7,8.6,8.2,7.3,7.8,7.8,7.8,8.2,8.9,7.4,6.3,6.4,5.9,5.7,6.2,4.4,4.2,4.3,5.0,4.8,4.5,2.6,3.3,2.9,4.9,6.1,5.6,6.0,7.6,5.0,5.6,5.8,5.8
" ","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
